k,num_removed_kmers,candidate_paper_title,candidate_mag_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
8,6000,Inflammatory pseudotumor of the Kidney,2410982831,10.1.1.283.8174,17660994,"(22, '-', 22)",79351.3969771862,Match,0.0026082992553710938,0.001542806625366211,0.004243135452270508,0.4,0.85
8,6000,Mechanochemická syntéza nanokryštalických materiálov v priemyselnom mlyne,856116778,10.1.1.139.8004,9022875,"(35, '-', 21)",79351.3969771862,Match,0.0008938312530517578,0.0003750324249267578,0.0013020038604736328,0.4,0.85
8,6000,Severe community-acquired pneumonia in the intensive care unit,2410986241,10.1.1.147.8273,9473623,"(37, '-', 24)",79351.3969771862,Match,0.0035512447357177734,0.00238037109375,0.00606989860534668,0.4,0.85
8,6000,IC97 is a novel intermediate chain of I1 dynein that interacts with tubulin and regulates interdoublet sliding,856190229,10.1.1.335.2143,20729362,"(88, '-', 21)",79351.3969771862,Match,0.006116628646850586,0.0039052963256835938,0.010215282440185547,0.4,0.85
8,6000,Cryptanalysis and improvement of a certificateless multi-proxy signature scheme,2350719694,10.1.1.400.7604,26780570,"(34, '-', 19)",79351.3969771862,Match,0.004778623580932617,0.0032372474670410156,0.008180379867553711,0.4,0.85
8,6000,management of peripheral arterial disease,2410993280,10.1.1.281.2282,17304962,"(26, '-', 23)",79351.3969771862,Match,0.002154827117919922,0.0014595985412597656,0.0037064552307128906,0.4,0.85
8,6000,Software risk management and insurance,856464734,10.1.1.125.7322,1482222,"(14, '-', 7)",79351.3969771862,Match,0.0015628337860107422,0.0014219284057617188,0.0030622482299804688,0.4,0.85
8,6000,A generalization of the handle addition theorem,2350750557,10.1.1.77.4100,2589544,"(22, '-', 10)",79351.3969771862,Match,0.0022745132446289062,0.001438140869140625,0.003795146942138672,0.4,0.85
8,6000,Table of abbreviations,856563082,10.1.1.103.4587,638243,"(13, '-', 10)",79351.3969771862,Match,0.001100301742553711,0.0004563331604003906,0.0015914440155029297,0.4,0.85
8,6000,T.: Transactional contention management as a non-clairvoyant scheduling problem,2350759496,10.1.1.224.2854,5669280,"(35, '-', 11)",79351.3969771862,Match,0.004703044891357422,0.0035779476165771484,0.008461475372314453,0.4,0.85
8,6000, Efficient option pricing with transaction costs,2350763990,10.1.1.155.1625,5424456,"(26, '-', 28)",79351.3969771862,Match,0.002222776412963867,0.0017163753509521484,0.004029273986816406,0.4,0.85
8,6000,the treatment of acute cholecystitis,2411006748,10.1.1.271.6781,15923085,"(18, '-', 13)",79351.3969771862,Match,0.0006206035614013672,0.00032830238342285156,0.0009751319885253906,0.4,0.85
8,6000,Title: A dynamic web server based appointment calendar,856752174,10.1.1.121.6652,6519994,"(37, '-', 11)",79351.3969771862,Match,0.0018916130065917969,0.0011556148529052734,0.0031163692474365234,0.4,0.85
8,6000,Improvement of QRA for tunnel safety by comparing QRA used in other engineering fields,856818495,10.1.1.189.3851,11923625,"(45, '-', 8)",79351.3969771862,Match,0.002554178237915039,0.002175569534301758,0.004842281341552734,0.4,0.85
8,6000,heart transplantation in,2411011250,10.1.1.327.3455,21724831,"(14, '-', 14)",79351.3969771862,Match,0.0011069774627685547,0.0003743171691894531,0.0015094280242919922,0.4,0.85
8,6000,Information and entropy econometrics: Editor’s view,2350784059,10.1.1.129.7229,6792805,"(20, '-', 8)",79351.3969771862,Match,0.0019292831420898438,0.001333475112915039,0.0033349990844726562,0.4,0.85
8,6000,Aluminosilicate Filler for Fluoroelastomers,2350787889,10.1.1.148.6712,9561576,"(19, '-', 4)",79351.3969771862,Match,0.0007469654083251953,0.0003216266632080078,0.0011022090911865234,0.4,0.85
