k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,The Occlusion Calculus,reference/gis/X17xfc,10.1.1.11.4746,1286782,"(9, '-', 8)",98595.35273885727,Match,0.0026366710662841797,0.0017459392547607422,0.004502058029174805,0.4,0.85
7,5000,Life-Long Learning,reference/convergence/McLaughlinFP16,10.1.1.103.4838,641160,"(9, '-', 9)",98595.35273885727,Match,0.000507354736328125,0.0001518726348876953,0.00067901611328125,0.4,0.85
7,5000,Digital Image Watermarking for Copyright Protection,reference/dbsec/Sion08a,10.1.1.227.8481,14139807,"(21, '-', 20)",98595.35273885727,Match,0.0070688724517822266,0.0038115978240966797,0.011117935180664062,0.4,0.85
7,5000,Recent Advances in Access Control,reference/dbsec/VimercatiFS08,10.1.1.228.3456,9577164,"(18, '-', 11)",98595.35273885727,Match,0.00859522819519043,0.004137754440307617,0.012994050979614258,0.4,0.85
7,5000, Privacy-enhanced Location-based Access Control,reference/dbsec/ArdagnaCVS08,10.1.1.149.2176,10832772,"(28, '-', 15)",98595.35273885727,Match,0.010462045669555664,0.0059087276458740234,0.016730308532714844,0.4,0.85
7,5000,Access Control Models for XML,reference/dbsec/VimercatiFPS08,10.1.1.228.7680,14188951,"(12, '-', 14)",98595.35273885727,Match,0.0032241344451904297,0.001668691635131836,0.00501704216003418,0.4,0.85
7,5000,Towards Secure Data Outsourcing,reference/dbsec/Sion08,10.1.1.86.8594,4866427,"(20, '-', 15)",98595.35273885727,Match,0.0018260478973388672,0.0009567737579345703,0.002848386764526367,0.4,0.85
7,5000,Damage Quarantine and Recovery in Data Processing Systems,reference/dbsec/LiuJY08,10.1.1.115.3211,6015005,"(34, '-', 8)",98595.35273885727,Match,0.009337186813354492,0.006519794464111328,0.016237974166870117,0.4,0.85
7,5000,Authenticated Index Structures for Outsourced Database Systems,reference/dbsec/LiHKR08,10.1.1.401.7602,1217218,"(28, '-', 28)",98595.35273885727,Match,0.00457453727722168,0.003049135208129883,0.007816314697265625,0.4,0.85
7,5000,Technology-Enhanced Learning,reference/edu/SenL20,10.1.1.123.6501,6673963,"(11, '-', 11)",98595.35273885727,Match,0.0012776851654052734,0.0011723041534423828,0.00252532958984375,0.4,0.85
7,5000,Chapter 3 Content-based Recommender Systems: State of the Art and Trends,reference/rsh/LopsGS11,10.1.1.412.7737,27603233,"(36, '-', 15)",98595.35273885727,Match,0.009743690490722656,0.00583958625793457,0.01596546173095703,0.4,0.85
7,5000, A Comprehensive Survey of Neighborhood-based Recommendation Methods,reference/rsh/DesrosiersK11,10.1.1.395.8834,13932890,"(40, '-', 15)",98595.35273885727,Match,0.011998653411865234,0.0044097900390625,0.016689538955688477,0.4,0.85
7,5000,Articles Context-Aware Recommender Systems,reference/rsh/AdomaviciusT11,10.1.1.395.8576,26414582,"(19, '-', 19)",98595.35273885727,Match,0.005098104476928711,0.0033600330352783203,0.008670806884765625,0.4,0.85
7,5000,Chapter 1 Introduction to Recommender Systems Handbook,reference/rsh/RicciRS11,10.1.1.395.9161,26418137,"(20, '-', 12)",98595.35273885727,Match,0.0024709701538085938,0.0016832351684570312,0.00426173210144043,0.4,0.85
