k,num_removed_kmers,paper_limit,paper_title,paper_id,best_candidate_id,2nd_best_candidate_id,query_time,ratio,hashmap_build_time,average_success_rate,average_query_time
3,0,60000000000000000,"Substad: For Fast Substitution in LISP, with an Application on Unification.",journals/ipl/Champeaux78,journals/ipl/Champeaux78,conf/ijcai/Vaalen75,10.421903848648071,"(69, '-', 38)",549.809070110321,Match,-
3,0,60000000000000000,A Choice Free Theory of Dedekind Cardinals.,journals/jsyml/Ellentuck69,journals/jsyml/Ellentuck69,journals/corr/abs-1904-12085,5.12947678565979,"(38, '-', 24)",549.809070110321,Match,-
3,0,60000000000000000,Learning Equilibrium Play: A Myopic Approach.,journals/coap/Flam99,journals/coap/Flam99,conf/globecom/NiyatoH07a,5.240015983581543,"(41, '-', 33)",549.809070110321,Match,-
3,0,60000000000000000,Stochastic modeling and availability optimization of condenser used in steam turbine power plants using GA and PSO.,journals/qre/SainiGSK22,journals/qre/SainiGSK22,journals/ress/JagtapBKAC20,14.721511363983154,"(98, '-', 50)",549.809070110321,Match,-
3,0,60000000000000000,Selected papers from the 15th and 16th international conference on Computational Intelligence Methods for Bioinformatics and Biostatistics.,journals/bmcbi/CazzanigaRBMSCR21,journals/bmcbi/CazzanigaRBMSCR21,journals/cim/Allmendinger18,17.823664665222168,"(134, '-', 108)",549.809070110321,Match,-
3,0,60000000000000000,Degree-based topological descriptors of type 3 rectangular hex-derived networks.,journals/bullica/DasR22,journals/bullica/DasR22,conf/icstcc/IonGPN19,11.27662992477417,"(72, '-', 47)",549.809070110321,Match,-
3,0,60000000000000000,Defection-free exchange mechanisms based on an entry fee imposition.,journals/ai/MatsubaraY02,journals/ai/MatsubaraY02,conf/iros/LiMLWY07,7.754202365875244,"(62, '-', 32)",549.809070110321,Match,-
3,0,60000000000000000,A Realization Algorithm Using Three-Input Majority Elements.,journals/tc/Riseman67,journals/tc/Riseman67,journals/access/TrojovskaDT22,8.007545948028564,"(55, '-', 41)",549.809070110321,Match,-
3,0,60000000000000000,Quick Block Transport System for Scalable Hyperledger Fabric Blockchain Over D2D-Assisted 5G Networks.,journals/tnsm/KimNSP22,journals/tnsm/KimNSP22,conf/otm/NijssenB18,14.255086898803711,"(111, '-', 49)",549.809070110321,Match,-
3,0,60000000000000000,Task-Oriented and Imitation-Oriented Movements in Virtual Reality Exercise Performance and Design.,journals/hf/ChenC23,journals/hf/ChenC23,conf/vr/DoradoFCMH19,13.251402854919434,"(91, '-', 49)",549.809070110321,Match,-
3,0,60000000000000000,refineD: improved protein structure refinement using machine learning based restrained relaxation.,journals/bioinformatics/Bhattacharya19,journals/bioinformatics/Bhattacharya19,conf/bcb/BhattacharyaC13a,14.75932502746582,"(115, '-', 57)",549.809070110321,Match,-
3,0,60000000000000000,A Tale of Two Deterrents: Considering the Role of Absolute and Restrictive Deterrence to Inspire New Directions in Behavioral and Organizational Security Research.,journals/jais/WillisonLP18,journals/jais/WillisonLP18,conf/icis/LeeCAK12,19.038371562957764,"(155, '-', 59)",549.809070110321,Match,-
3,0,60000000000000000,River Temperature Forecasting: A Coupled-Modeling Framework for Management of River Habitat.,journals/staeors/DannerMPHMRCDLN12,journals/staeors/DannerMPHMRCDLN12,conf/icsoft/PloskasBZDW08,14.394296884536743,"(89, '-', 44)",549.809070110321,Match,-
3,0,60000000000000000,Polynomial-time Construction of Optimal Tree-structured Communication Data Layout Descriptions.,journals/corr/GanianKST15,journals/corr/GanianKST15,journals/ijet/Almanza-CortesT19,11.18784475326538,"(91, '-', 51)",549.809070110321,Match,-
3,0,60000000000000000,Automatic Sign Reading and Localization for Semantic Mapping with an Office Robot.,journals/corr/abs-2209-11432,journals/corr/abs-2209-11432,conf/www/MandellM03,12.733853816986084,"(69, '-', 38)",549.809070110321,Match,-
3,0,60000000000000000,On the Performance of Non-Terrestrial Networks to Support the Internet of Things.,journals/corr/abs-2212-01614,journals/corr/abs-2212-01614,conf/acssc/WangTGAZ22,10.897489547729492,"(65, '-', 65)",549.809070110321,Match,-
3,0,60000000000000000,A General Framework for Biclustering Gene Expression Data.,journals/jbcb/LiCZJ06,journals/jbcb/LiCZJ06,journals/tcbb/XuOHZ18,8.774961709976196,"(54, '-', 43)",549.809070110321,Match,-
3,0,60000000000000000,The Effects of Environmental Factors on the Efficiency of Clinical Commissioning Groups in England: A Data Envelopment Analysis.,journals/jms/TakundwaJMP17,journals/jms/TakundwaJMP17,conf/cis/DuanDC08,15.52733826637268,"(124, '-', 61)",549.809070110321,Match,-
3,0,60000000000000000,Autosate.,journals/cacm/Gatto64,journals/software/Honekamp09,conf/wsc/Rohrer99,0.9899632930755615,"(8, '-', 9)",549.809070110321,NOT MATCH,-
3,0,60000000000000000,Characterisation of Bijectivity Preserving Componentwise Modification of S-Boxes.,journals/iacr/Nyberg22a,journals/iacr/Nyberg22a,conf/isbra/ManuchPG11,9.418644905090332,"(62, '-', 33)",549.809070110321,Match,-
3,0,60000000000000000,Automatic Two-Lane Path Generation for Autonomous Vehicles Using Quartic B-Spline Curves.,journals/tiv/SuzukiUM18,journals/tiv/SuzukiUM18,journals/information/ZhangJX21,11.96573519706726,"(88, '-', 50)",549.809070110321,Match,-
3,0,60000000000000000,Self-reconfigurable software architecture: Design and implementation.,journals/candie/MunRJ06,journals/candie/MunRJ06,conf/dagstuhl/CumplidoCUP10,9.343297481536865,"(59, '-', 49)",549.809070110321,Match,-
3,0,60000000000000000,Horizontal product differentiation in Varian's model of sales.,journals/ijgt/Nakagawa23,journals/ijgt/Nakagawa23,journals/corr/Nakagawa17,7.832273721694946,"(51, '-', 39)",549.809070110321,Match,-
3,0,60000000000000000,Large monochromatic components in multicolored bipartite graphs.,journals/jgt/DeBiasioKS20,journals/jgt/DeBiasioKS20,journals/jcta/Rahimi20,8.949886322021484,"(59, '-', 44)",549.809070110321,Match,-
3,0,60000000000000000,Modal and Temporal Properties of Processes.,series/txcs/Stirling01,series/txcs/Stirling01,journals/corr/abs-2106-00966,6.452423334121704,"(38, '-', 37)",549.809070110321,Match,-
3,0,60000000000000000,Optimal Filter-Bank Design for Multiple Texture Discrimination.,conf/icip/RandenH97a,conf/icip/RandenH97a,journals/tcasI/EleftheriadisK23,9.16832709312439,"(54, '-', 32)",549.809070110321,Match,-
3,0,60000000000000000,BJR-Tree: Fast Skyline Computation Algorithm for Serendipitous Searching Problems.,conf/dsaa/KoizumiEHI17,conf/dsaa/KoizumiEHI17,conf/ai/MorinLAM10,11.789219856262207,"(73, '-', 41)",549.809070110321,Match,-
3,0,60000000000000000,Solving Combinatorial Problems via the Random Exploration of the Search Space: An Experimental Approach for Fast Decision Making.,conf/noms/SilvaSGSSMSN22,conf/noms/SilvaSGSSMSN22,journals/it/Huffner09,15.380281925201416,"(109, '-', 49)",549.809070110321,Match,-
3,0,60000000000000000,Heuristics for the global optimization of microprograms.,conf/micro/Poe80,conf/micro/Poe80,journals/soco/MahajanAPNAA22,7.559863567352295,"(42, '-', 40)",549.809070110321,Match,-
3,0,60000000000000000,Integrierte Testkonzepte - Von der Theorie zur Praxis und zur&uuml;ck.,conf/se/Gerlich07,conf/se/Gerlich07,phd/de/Lyre2004,6.067148923873901,"(74, '-', 45)",549.809070110321,Match,-
3,0,60000000000000000,Effect of the principal component on the PCA-based neural network model for HFO2 thin film characteristics.,conf/aia/KoHMY07,conf/aia/KoHMY07,journals/jiat/Treur17,14.424766778945923,"(90, '-', 48)",549.809070110321,Match,-
3,0,60000000000000000,Multiple-Hypothesis CTC-Based Semi-Supervised Adaptation of End-to-End Speech Recognition.,conf/icassp/DoDH21,conf/icassp/DoDH21,journals/corr/abs-2103-15515,9.749927520751953,"(82, '-', 51)",549.809070110321,Match,-
3,0,60000000000000000,Image noise-informative map for noise standard deviation estimation.,conf/icassp/UssVLBC11,conf/icassp/UssVLBC11,journals/masa/SinghC08,8.75669550895691,"(64, '-', 37)",549.809070110321,Match,-
3,0,60000000000000000,Minimum settling time voltage regulation of single-phase PFC converters.,conf/icecsys/NinkovicJ01,conf/icecsys/NinkovicJ01,conf/iasam/AhmedBHAK17,7.805612564086914,"(59, '-', 36)",549.809070110321,Match,-
3,0,60000000000000000,DynaPyt: a dynamic analysis framework for Python.,conf/sigsoft/EghbaliP22,conf/sigsoft/EghbaliP22,journals/jossw/Smith21,7.504546165466309,"(48, '-', 33)",549.809070110321,Match,-
3,0,60000000000000000,Getting Back Up: Understanding How Enterprise Data Backups Fail.,conf/usenix/AmvrosiadisB16,conf/usenix/AmvrosiadisB16,journals/synthese/Stein04,5.748534202575684,"(62, '-', 28)",549.809070110321,Match,-
3,0,60000000000000000,3-Designs from Z<sub>4</sub>-Goethals-Like Codes and Variants of Cyclotomic Polynomials.,conf/wcc/LahtonenRV05,journals/mj/WangRHHC09,journals/qip/JiZ23,7.618600368499756,"(137, '-', 125)",549.809070110321,NOT MATCH,-
3,0,60000000000000000,(Not) yet another policy for scalable video delivery to mobile users.,conf/mmsys/HosseiniFP15,conf/mmsys/HosseiniFP15,conf/iscas/LiCCT10,10.232044458389282,"(65, '-', 39)",549.809070110321,Match,-
3,0,60000000000000000,A Self-healing Key Pre-distribution Scheme for Multi-phase Wireless Sensor Networks.,conf/trustcom/MessaiS17,conf/trustcom/MessaiS17,conf/iscis/CatakogluL13,12.578479290008545,"(76, '-', 57)",549.809070110321,Match,-
3,0,60000000000000000,Nonlinear Integration of Spatial and Temporal Forecasting by Support Vector Machines.,conf/fskd/WangCL07,conf/fskd/WangCL07,journals/corr/QiSN16,11.185730457305908,"(71, '-', 52)",549.809070110321,Match,-
3,0,60000000000000000,Network Security Management Using ARP Spoofing.,conf/iccsa/KwonAC04,conf/iccsa/KwonAC04,journals/jnsm/DawkinsCMP05,7.353016138076782,"(41, '-', 40)",549.809070110321,Match,-
3,0,60000000000000000,Filtering techniques for the system prognosis.,conf/icsc2/OuladsineOC16,conf/icsc2/OuladsineOC16,journals/corr/abs-1207-5104,7.432375907897949,"(36, '-', 32)",549.809070110321,Match,-
3,0,60000000000000000,A QoS-Aware Adaptive Mobility Handling Approach for LoRa-Based IoT Systems.,conf/saso/RobbeD18,conf/saso/RobbeD18,conf/icwe/ZhangWZWC05,12.515516996383667,"(67, '-', 41)",549.809070110321,Match,-
3,0,60000000000000000,HSP: Hybrid Synchronous Parallelism for Fast Distributed Deep Learning.,conf/icpp/Li0LZJ022,conf/icpp/Li0LZJ022,journals/corr/abs-2001-01347,9.384653806686401,"(65, '-', 44)",549.809070110321,Match,-
3,0,60000000000000000,The Nexus information hub for exploring social-informational context.,conf/adcs/MansfieldRCS02,conf/adcs/MansfieldRCS02,journals/jd/Graminius22,8.230995178222656,"(60, '-', 47)",549.809070110321,Match,-
3,0,60000000000000000,"The Badalona Corpus - An Audio, Video and Neuro-Physiological Conversational Dataset.",conf/lrec/BlacheAJHKLMF22,conf/lrec/BlacheAJHKLMF22,journals/sensors/AlanaziAAAA21,8.339654207229614,"(74, '-', 36)",549.809070110321,Match,-
3,0,60000000000000000,Using Cloud-assisted Body Area Networks to Track People Physical Activity in Mobility.,conf/bodynets/FortinoGLM15,conf/bodynets/FortinoGLM15,conf/medinfo/HenriksenHHG17,13.30335021018982,"(80, '-', 46)",549.809070110321,95.74468085106383,10.261201863593243
3,20,60000000000000000,"Substad: For Fast Substitution in LISP, with an Application on Unification.",journals/ipl/Champeaux78,journals/ipl/Champeaux78,conf/ijcai/Vaalen75,7.813320159912109,"(62, '-', 32)",549.809070110321,Match,-
3,20,60000000000000000,A Choice Free Theory of Dedekind Cardinals.,journals/jsyml/Ellentuck69,journals/jsyml/Ellentuck69,journals/sLogica/EckertH18,4.2507164478302,"(36, '-', 24)",549.809070110321,Match,-
3,20,60000000000000000,Learning Equilibrium Play: A Myopic Approach.,journals/coap/Flam99,journals/coap/Flam99,conf/globecom/NiyatoH07a,4.641889572143555,"(40, '-', 32)",549.809070110321,Match,-
3,20,60000000000000000,Stochastic modeling and availability optimization of condenser used in steam turbine power plants using GA and PSO.,journals/qre/SainiGSK22,journals/qre/SainiGSK22,journals/ress/JagtapBKAC20,12.143800020217896,"(89, '-', 46)",549.809070110321,Match,-
3,20,60000000000000000,Selected papers from the 15th and 16th international conference on Computational Intelligence Methods for Bioinformatics and Biostatistics.,journals/bmcbi/CazzanigaRBMSCR21,journals/bmcbi/CazzanigaRBMSCR21,journals/cim/Allmendinger18,62.5342218875885,"(113, '-', 84)",549.809070110321,Match,-
3,20,60000000000000000,Degree-based topological descriptors of type 3 rectangular hex-derived networks.,journals/bullica/DasR22,journals/bullica/DasR22,conf/icstcc/IonGPN19,8.415096044540405,"(68, '-', 44)",549.809070110321,Match,-
3,20,60000000000000000,Defection-free exchange mechanisms based on an entry fee imposition.,journals/ai/MatsubaraY02,journals/ai/MatsubaraY02,journals/scjapan/YamamotoT03,6.870936870574951,"(60, '-', 31)",549.809070110321,Match,-
3,20,60000000000000000,A Realization Algorithm Using Three-Input Majority Elements.,journals/tc/Riseman67,journals/tc/Riseman67,journals/access/TrojovskaDT22,6.648197650909424,"(52, '-', 38)",549.809070110321,Match,-
3,20,60000000000000000,Quick Block Transport System for Scalable Hyperledger Fabric Blockchain Over D2D-Assisted 5G Networks.,journals/tnsm/KimNSP22,journals/tnsm/KimNSP22,conf/icc/KimLPL21,10.357113122940063,"(100, '-', 42)",549.809070110321,Match,-
3,20,60000000000000000,Task-Oriented and Imitation-Oriented Movements in Virtual Reality Exercise Performance and Design.,journals/hf/ChenC23,journals/hf/ChenC23,conf/aswec/NguyenSS98,10.345189571380615,"(86, '-', 45)",549.809070110321,Match,-
3,20,60000000000000000,refineD: improved protein structure refinement using machine learning based restrained relaxation.,journals/bioinformatics/Bhattacharya19,journals/bioinformatics/Bhattacharya19,conf/ijcnn/PachecoK18,11.501799821853638,"(110, '-', 52)",549.809070110321,Match,-
3,20,60000000000000000,A Tale of Two Deterrents: Considering the Role of Absolute and Restrictive Deterrence to Inspire New Directions in Behavioral and Organizational Security Research.,journals/jais/WillisonLP18,journals/jais/WillisonLP18,journals/ijkm/SadeghKM18,15.974891424179077,"(142, '-', 49)",549.809070110321,Match,-
