k,num_removed_kmers,paper_limit,paper_title,paper_id,best_candidate_id,2nd_best_candidate_id,query_time,ratio,hashmap_build_time
3,100,60000000,,,None,0,0.0,0,292.94160056114197
3,100,60000000,,,None,0,0.0,0,292.94160056114197
3,100,60000000,Practices of Responsible Research and Innovation: A Review.,journals/see/SchuijffD20,journals/bsl/Dobrinen14,journals/see/BrandlWNRSFFNM20,6.195222616195679,"(100, '-', 78)",292.94160056114197
3,100,60000000,Optimal Decision-Making for Autonomous Agents via Data Composition.,journals/csysl/GarrabeLR23,journals/csysl/GarrabeLR23,journals/robotica/Fox91c,6.683691024780273,"(67, '-', 60)",292.94160056114197
3,100,60000000,La Extracci&oacute;n de Objetos de Aprendizaje con Metadatos de Dise&ntilde;o Pedag&oacute;gico.,journals/ieee-rita/MotzBBS10,journals/pdln/AranbarriE11,journals/cys/Suarez-Castanon05,3.07829213142395,"(147, '-', 139)",292.94160056114197
4,100,60000000,,,None,0,0.08784365653991699,0,225.55982732772827
4,100,60000000,,,None,0,0.0,0,225.55982732772827
4,100,60000000,Practices of Responsible Research and Innovation: A Review.,journals/see/SchuijffD20,journals/see/BrandlWNRSFFNM20,journals/see/SchuijffD20,2.3995871543884277,"(66, '-', 58)",225.55982732772827
4,100,60000000,Optimal Decision-Making for Autonomous Agents via Data Composition.,journals/csysl/GarrabeLR23,journals/csysl/GarrabeLR23,journals/tsmc/CowlagiT12,2.986034870147705,"(64, '-', 38)",225.55982732772827
4,100,60000000,La Extracci&oacute;n de Objetos de Aprendizaje con Metadatos de Dise&ntilde;o Pedag&oacute;gico.,journals/ieee-rita/MotzBBS10,journals/ieee-rita/MotzBBS10,journals/pdln/AranbarriE11,0.5006735324859619,"(115, '-', 112)",225.55982732772827
5,100,60000000,,,None,0,0.0771629810333252,0,322.831684589386
5,100,60000000,,,None,0,0.0,0,322.831684589386
5,100,60000000,Practices of Responsible Research and Innovation: A Review.,journals/see/SchuijffD20,journals/see/BrandlWNRSFFNM20,journals/see/SchuijffD20,1.996969223022461,"(58, '-', 55)",322.831684589386
5,100,60000000,Optimal Decision-Making for Autonomous Agents via Data Composition.,journals/csysl/GarrabeLR23,journals/csysl/GarrabeLR23,journals/ijssci/CervantesRLRR13,1.904975175857544,"(63, '-', 36)",322.831684589386
5,100,60000000,La Extracci&oacute;n de Objetos de Aprendizaje con Metadatos de Dise&ntilde;o Pedag&oacute;gico.,journals/ieee-rita/MotzBBS10,journals/ieee-rita/MotzBBS10,journals/cys/Suarez-Castanon05,0.1633927822113037,"(106, '-', 81)",322.831684589386
6,100,60000000,,,None,0,0.014031171798706055,0,360.7396049499512
6,100,60000000,,,None,0,0.0,0,360.7396049499512
6,100,60000000,Practices of Responsible Research and Innovation: A Review.,journals/see/SchuijffD20,journals/see/SchuijffD20,journals/see/BrandlWNRSFFNM20,0.25029993057250977,"(54, '-', 53)",360.7396049499512
6,100,60000000,Optimal Decision-Making for Autonomous Agents via Data Composition.,journals/csysl/GarrabeLR23,journals/csysl/GarrabeLR23,journals/ijssci/CervantesRLRR13,0.3992795944213867,"(62, '-', 35)",360.7396049499512
6,100,60000000,La Extracci&oacute;n de Objetos de Aprendizaje con Metadatos de Dise&ntilde;o Pedag&oacute;gico.,journals/ieee-rita/MotzBBS10,journals/ieee-rita/MotzBBS10,journals/cys/Suarez-Castanon05,0.03588604927062988,"(101, '-', 64)",360.7396049499512
7,100,60000000,,,None,0,0.003983736038208008,0,320.0552852153778
7,100,60000000,,,None,0,0.0,0,320.0552852153778
7,100,60000000,Practices of Responsible Research and Innovation: A Review.,journals/see/SchuijffD20,journals/see/SchuijffD20,journals/see/BrandlWNRSFFNM20,0.07448983192443848,"(53, '-', 49)",320.0552852153778
7,100,60000000,Optimal Decision-Making for Autonomous Agents via Data Composition.,journals/csysl/GarrabeLR23,journals/csysl/GarrabeLR23,journals/ijssci/CervantesRLRR13,0.15773892402648926,"(61, '-', 34)",320.0552852153778
7,100,60000000,La Extracci&oacute;n de Objetos de Aprendizaje con Metadatos de Dise&ntilde;o Pedag&oacute;gico.,journals/ieee-rita/MotzBBS10,journals/ieee-rita/MotzBBS10,journals/cys/Suarez-Castanon05,0.009043693542480469,"(96, '-', 50)",320.0552852153778
